Date,Close,High,Low,Open,Volume,ticker
2020-01-02,8872.2197265625,8873.6298828125,8786.900390625,8802.2197265625,2862700000.0,INDEX
2020-01-03,8793.900390625,8843.650390625,8755.169921875,8755.169921875,2586520000.0,INDEX
2020-01-06,8848.51953125,8849.98046875,8713.8896484375,8713.8896484375,2810450000.0,INDEX
2020-01-07,8846.4501953125,8872.4697265625,8821.6796875,8857.1396484375,2381740000.0,INDEX
2020-01-08,8912.3701171875,8953.5498046875,8834.9404296875,8845.4501953125,2472620000.0,INDEX
2020-01-09,8989.6298828125,9004.5498046875,8938.5302734375,8990.0400390625,2540960000.0,INDEX
2020-01-10,8966.6396484375,9024.8701171875,8951.830078125,9021.8798828125,2382900000.0,INDEX
2020-01-13,9070.650390625,9071.5302734375,8991.349609375,9007.9404296875,2536820000.0,INDEX
2020-01-14,9033.419921875,9080.16015625,9020.919921875,9068.01953125,2553160000.0,INDEX
2020-01-15,9035.669921875,9078.8701171875,9008.9501953125,9039.3095703125,2443220000.0,INDEX
2020-01-16,9125.0,9126.0703125,9066.3095703125,9088.080078125,2312110000.0,INDEX
2020-01-17,9173.73046875,9176.4697265625,9118.98046875,9159.48046875,2542540000.0,INDEX
2020-01-21,9166.6298828125,9187.419921875,9141.7802734375,9145.6396484375,2686610000.0,INDEX
2020-01-22,9188.580078125,9242.48046875,9179.26953125,9212.349609375,2454580000.0,INDEX
2020-01-23,9216.98046875,9221.1298828125,9145.23046875,9186.1396484375,2465850000.0,INDEX
2020-01-24,9141.4697265625,9272.3701171875,9101.4404296875,9266.349609375,2622970000.0,INDEX
2020-01-27,8952.1796875,9001.4404296875,8910.9697265625,8913.16015625,2593910000.0,INDEX
2020-01-28,9090.9296875,9111.3203125,8994.2802734375,9013.23046875,2169020000.0,INDEX
2020-01-29,9101.6103515625,9153.080078125,9067.2900390625,9141.51953125,2234620000.0,INDEX
2020-01-30,9136.08984375,9140.6904296875,9019.7197265625,9038.919921875,2345370000.0,INDEX
2020-01-31,8991.509765625,9170.2197265625,8961.58984375,9169.91015625,2696090000.0,INDEX
2020-02-03,9126.23046875,9148.5,9031.0703125,9033.51953125,2427320000.0,INDEX
2020-02-04,9334.0595703125,9352.9599609375,9224.8603515625,9256.9404296875,2447340000.0,INDEX
2020-02-05,9367.48046875,9442.75,9311.8798828125,9441.33984375,2470240000.0,INDEX
2020-02-06,9445.919921875,9448.7197265625,9357.8603515625,9395.6904296875,2313860000.0,INDEX
2020-02-07,9401.099609375,9453.240234375,9376.91015625,9397.76953125,2243720000.0,INDEX
2020-02-10,9516.83984375,9517.740234375,9373.2001953125,9373.2001953125,2187520000.0,INDEX
2020-02-11,9517.8603515625,9600.0498046875,9493.6298828125,9567.8095703125,2450070000.0,INDEX
2020-02-12,9613.2001953125,9615.91015625,9552.0302734375,9569.8203125,2366510000.0,INDEX
2020-02-13,9595.7001953125,9636.41015625,9532.740234375,9540.669921875,2254870000.0,INDEX
2020-02-14,9623.580078125,9634.75,9583.080078125,9613.8798828125,2226720000.0,INDEX
2020-02-18,9629.7998046875,9647.7197265625,9567.2802734375,9567.2802734375,2279420000.0,INDEX
2020-02-19,9718.73046875,9736.5703125,9676.0703125,9683.9404296875,2470860000.0,INDEX
2020-02-20,9627.830078125,9714.23046875,9513.23046875,9696.66015625,2745730000.0,INDEX
2020-02-21,9446.6904296875,9594.0,9406.3798828125,9582.5400390625,2750160000.0,INDEX
2020-02-24,9079.6298828125,9194.91015625,9028.8701171875,9055.2998046875,3188590000.0,INDEX
2020-02-25,8834.8701171875,9183.7802734375,8807.1103515625,9167.330078125,3595520000.0,INDEX
2020-02-26,8873.759765625,9032.8798828125,8813.919921875,8883.009765625,3587950000.0,INDEX
2020-02-27,8436.669921875,8786.6796875,8430.5302734375,8632.5400390625,4559900000.0,INDEX
2020-02-28,8461.830078125,8490.4697265625,8133.85009765625,8133.85009765625,5320020000.0,INDEX
2020-03-02,8877.98046875,8879.3896484375,8446.5,8569.91015625,4249020000.0,INDEX
2020-03-03,8594.490234375,9000.4599609375,8516.580078125,8892.6796875,4336700000.0,INDEX
2020-03-04,8949.2802734375,8952.1103515625,8669.759765625,8745.6396484375,3634760000.0,INDEX
2020-03-05,8671.66015625,8864.1904296875,8613.91015625,8713.1904296875,3763860000.0,INDEX
2020-03-06,8530.33984375,8571.8798828125,8319.900390625,8395.9501953125,4292730000.0,INDEX
2020-03-09,7948.02978515625,8241.76953125,7912.14013671875,7912.14013671875,4554110000.0,INDEX
2020-03-10,8372.26953125,8376.4404296875,7942.1298828125,8213.9697265625,4447260000.0,INDEX
2020-03-11,8006.1201171875,8224.73046875,7900.990234375,8166.259765625,4302610000.0,INDEX
2020-03-12,7263.64990234375,7808.31005859375,7255.6201171875,7452.759765625,5099350000.0,INDEX
2020-03-13,7995.259765625,7998.509765625,7301.8798828125,7683.0400390625,4701070000.0,INDEX
2020-03-16,7020.3798828125,7563.4501953125,6993.60986328125,7502.259765625,4618120000.0,INDEX
2020-03-17,7473.9501953125,7550.1298828125,6959.14990234375,7198.52978515625,4920210000.0,INDEX
2020-03-18,7175.18017578125,7336.8798828125,6837.52978515625,7023.85986328125,4935000000.0,INDEX
2020-03-19,7288.52001953125,7514.14013671875,7037.47021484375,7190.2099609375,4778490000.0,INDEX
2020-03-20,6994.2900390625,7487.830078125,6969.77001953125,7391.22021484375,5260300000.0,INDEX
2020-03-23,7006.919921875,7145.2900390625,6771.91015625,6952.7099609375,4348410000.0,INDEX
2020-03-24,7553.830078125,7555.91015625,7304.39013671875,7349.0,4441080000.0,INDEX
2020-03-25,7469.6201171875,7777.60986328125,7390.41015625,7543.9599609375,4683630000.0,INDEX
2020-03-26,7897.1298828125,7913.10986328125,7549.830078125,7549.830078125,4014670000.0,INDEX
2020-03-27,7588.3701171875,7817.740234375,7580.22021484375,7657.43994140625,3989120000.0,INDEX
